V,Q,G,M,mom,gs,cagr,mdd,calmar,total
25,0,30,45,12m-1m,3f_rev_oca_gp,75.66,42.65,1.774,7067.62
25,5,30,40,12m-1m,2f_rev_oca_0.7,60.02,37.51,1.6,3434.85
15,0,40,45,6m-1m,3f_rev_oca_gp,62.22,40.85,1.523,3819.42
25,15,20,40,12m-1m,3f_rev_oca_gp,59.16,39.13,1.512,3293.58
25,15,20,40,12m-1m,2f_rev_oca_0.7,52.15,36.15,1.442,2310.58
20,15,20,45,12m-1m,3f_rev_oca_gp,55.84,38.86,1.437,2791.04
10,5,40,45,6m-1m,3f_rev_oca_gp,55.76,40.78,1.367,2780.86
20,5,30,45,6m-1m,2f_rev_oca_0.7,55.33,40.75,1.358,2720.89
20,15,30,35,12m,3f_rev_oca_gp,61.03,45.23,1.349,3607.96
25,15,30,30,12m,3f_rev_oca_gp,56.96,42.3,1.347,2953.59
30,10,20,40,12m-1m,3f_rev_oca_gp,57.83,43.0,1.345,3083.34
30,5,20,45,6m-1m,2f_rev_oca_0.7,51.79,38.64,1.34,2268.49
15,10,30,45,6m-1m,2f_rev_oca_0.7,56.83,42.75,1.329,2933.96
25,10,20,45,6m-1m,3f_rev_oca_gp,52.42,39.89,1.314,2343.34
25,5,40,30,12m,2f_rev_oca_0.7,57.99,44.88,1.292,3108.23
30,15,20,35,12m-1m,2f_rev_oca_0.7,50.51,39.14,1.29,2121.04
30,10,20,40,12m-1m,2f_rev_oca_0.7,52.77,41.22,1.28,2386.81
25,15,30,30,12m,2f_rev_oca_0.7,55.81,43.64,1.279,2787.77
25,5,30,40,12m-1m,3f_rev_oca_gp,59.33,46.5,1.276,3320.64
20,5,30,45,12m-1m,3f_rev_oca_gp,55.83,44.08,1.266,2789.67
15,0,55,30,12m,3f_rev_oca_gp,57.84,46.55,1.243,3085.43
25,10,20,45,6m-1m,2f_rev_oca_0.7,48.23,38.84,1.242,1878.66
15,15,30,40,6m-1m,3f_rev_oca_gp,52.56,42.37,1.24,2360.83
20,10,30,40,6m,2f_rev_oca_0.7,52.46,42.5,1.234,2348.55
15,10,30,45,6m-1m,3f_rev_oca_gp,53.05,43.04,1.233,2421.2
25,15,30,30,12m-1m,2f_rev_oca_0.7,52.73,42.78,1.233,2381.64
20,15,30,35,12m,2f_rev_oca_0.7,51.39,41.7,1.232,2221.28
30,5,20,45,12m-1m,3f_rev_oca_gp,53.28,43.54,1.224,2450.51
20,5,45,30,12m,3f_rev_oca_gp,56.46,46.2,1.222,2880.06
20,10,30,40,12m-1m,2f_rev_oca_0.7,50.51,41.38,1.221,2120.99
10,15,30,45,6m-1m,3f_rev_oca_gp,53.78,44.26,1.215,2513.81
25,0,30,45,6m-1m,2f_rev_oca_0.7,47.89,39.43,1.215,1843.68
30,5,20,45,12m-1m,2f_rev_oca_0.7,51.68,42.75,1.209,2255.49
30,10,30,30,12m,3f_rev_oca_gp,50.78,42.23,1.203,2151.47
25,5,30,40,12m,2f_rev_oca_0.7,53.29,44.62,1.194,2451.46
20,5,40,35,6m-1m,2f_rev_oca_0.7,48.08,40.29,1.193,1862.66
15,15,40,30,6m,2f_rev_oca_0.7,53.45,44.87,1.191,2472.42
20,10,30,40,6m-1m,2f_rev_oca_0.7,52.0,43.81,1.187,2293.27
30,5,30,35,12m,3f_rev_oca_gp,53.63,45.3,1.184,2494.39
20,15,20,45,6m-1m,3f_rev_oca_gp,52.1,44.08,1.182,2305.23
20,10,30,40,12m-1m,3f_rev_oca_gp,53.72,45.86,1.172,2506.99
25,10,20,45,12m-1m,2f_rev_oca_0.7,50.71,43.82,1.157,2143.83
5,5,45,45,6m,3f_rev_oca_gp,50.51,43.84,1.152,2121.35
25,0,30,45,6m,3f_rev_oca_gp,50.85,44.2,1.15,2159.15
25,5,30,40,6m-1m,3f_rev_oca_gp,46.82,40.86,1.146,1739.85
10,10,45,35,6m,3f_rev_oca_gp,50.97,44.55,1.144,2172.74
20,5,30,45,6m-1m,3f_rev_oca_gp,52.58,45.96,1.144,2362.9
30,0,30,40,12m-1m,2f_rev_oca_0.7,49.54,43.55,1.138,2014.91
25,5,30,40,12m,3f_rev_oca_gp,53.88,47.44,1.136,2527.24
20,0,50,30,12m,3f_rev_oca_gp,56.58,49.83,1.135,2897.03
20,10,30,40,6m-1m,3f_rev_oca_gp,53.85,47.98,1.122,2522.56
20,10,40,30,12m,2f_rev_oca_0.7,53.42,47.79,1.118,2468.27
20,15,20,45,6m-1m,2f_rev_oca_0.7,51.59,46.21,1.117,2245.13
25,10,20,45,12m-1m,3f_rev_oca_gp,49.57,44.43,1.116,2018.32
10,15,45,30,6m,2f_rev_oca_0.7,49.88,45.28,1.102,2051.19
15,5,40,40,6m-1m,3f_rev_oca_gp,47.94,43.56,1.1,1848.92
15,5,50,30,12m,3f_rev_oca_gp,52.56,47.91,1.097,2361.05
20,15,30,35,6m-1m,3f_rev_oca_gp,46.45,42.38,1.096,1705.43
25,0,40,35,12m,3f_rev_oca_gp,58.82,53.67,1.096,3238.45
30,5,20,45,6m-1m,3f_rev_oca_gp,46.14,42.1,1.096,1676.28
20,15,30,35,12m-1m,2f_rev_oca_0.7,47.76,43.66,1.094,1830.82
20,15,30,35,12m-1m,3f_rev_oca_gp,47.91,43.8,1.094,1846.24
15,15,30,40,6m,3f_rev_oca_gp,53.25,48.7,1.093,2446.44
10,5,55,30,6m-1m,2f_rev_oca_0.7,48.01,43.99,1.092,1856.48
15,5,45,35,6m,3f_rev_oca_gp,49.37,45.31,1.09,1996.57
25,10,30,35,12m,3f_rev_oca_gp,51.87,47.68,1.088,2278.1
20,15,20,45,6m,3f_rev_oca_gp,55.31,50.95,1.086,2717.97
25,15,20,40,6m-1m,2f_rev_oca_0.7,47.75,44.1,1.083,1829.64
20,5,45,30,12m-1m,3f_rev_oca_gp,48.03,44.47,1.08,1858.51
15,15,40,30,6m,3f_rev_oca_gp,46.7,43.29,1.079,1728.06
20,10,40,30,6m,2f_rev_oca_0.7,47.18,43.9,1.075,1774.6
20,10,40,30,12m-1m,3f_rev_oca_gp,49.22,45.82,1.074,1980.47
15,15,40,30,6m-1m,3f_rev_oca_gp,46.67,43.59,1.071,1725.24
15,5,45,35,12m,3f_rev_oca_gp,52.32,48.85,1.071,2331.14
30,0,30,40,12m,3f_rev_oca_gp,53.68,50.12,1.071,2501.8
15,5,40,40,6m-1m,2f_rev_oca_0.7,47.24,44.32,1.066,1780.3
25,10,30,35,12m-1m,3f_rev_oca_gp,52.24,50.01,1.045,2321.74
15,10,45,30,6m,2f_rev_oca_0.7,44.35,42.6,1.041,1518.04
30,5,30,35,12m,2f_rev_oca_0.7,51.1,49.16,1.04,2187.96
20,5,40,35,12m,3f_rev_oca_gp,54.32,52.34,1.038,2584.41
10,0,55,35,6m,3f_rev_oca_gp,49.66,47.97,1.035,2027.51
20,0,40,40,12m-1m,3f_rev_oca_gp,53.83,52.04,1.034,2521.0
15,15,40,30,12m-1m,2f_rev_oca_0.7,47.96,46.58,1.03,1851.26
30,15,20,35,12m-1m,3f_rev_oca_gp,45.52,44.21,1.03,1619.95
5,10,50,35,6m,3f_rev_oca_gp,49.55,48.22,1.028,2016.12
30,10,20,40,12m,3f_rev_oca_gp,48.21,47.58,1.013,1876.48
30,0,40,30,12m,3f_rev_oca_gp,48.42,47.92,1.011,1897.75
20,10,40,30,6m-1m,3f_rev_oca_gp,44.2,43.74,1.011,1504.94
30,0,30,40,12m,2f_rev_oca_0.7,50.65,50.18,1.009,2136.48
25,5,30,40,6m,2f_rev_oca_0.7,41.03,40.71,1.008,1256.0
15,0,50,35,12m-1m,3f_rev_oca_gp,49.59,49.32,1.005,2019.81
15,10,40,35,12m,3f_rev_oca_gp,49.48,49.27,1.004,2008.15
30,0,30,40,12m-1m,3f_rev_oca_gp,49.25,49.25,1.0,1983.3
15,10,45,30,12m,3f_rev_oca_gp,47.93,48.02,0.998,1848.12
15,10,40,35,6m,3f_rev_oca_gp,45.8,45.88,0.998,1644.94
10,5,45,40,6m-1m,3f_rev_oca_gp,43.32,43.6,0.994,1432.23
10,10,40,40,6m-1m,3f_rev_oca_gp,42.67,43.01,0.992,1380.23
5,0,50,45,12m,2f_rev_oca_0.7,44.61,45.12,0.989,1539.56
10,5,50,35,6m,3f_rev_oca_gp,45.6,46.27,0.986,1627.14
25,10,30,35,12m-1m,2f_rev_oca_0.7,43.43,44.18,0.983,1441.42
15,10,50,25,6m,2f_rev_oca_0.7,43.23,44.15,0.979,1425.01
15,5,45,35,6m-1m,2f_rev_oca_0.7,43.38,44.33,0.979,1437.15
25,10,30,35,6m-1m,2f_rev_oca_0.7,43.37,44.34,0.978,1436.18
20,5,40,35,12m-1m,3f_rev_oca_gp,52.88,54.15,0.977,2400.86
20,5,45,30,12m,2f_rev_oca_0.7,50.51,51.89,0.973,2120.51
10,5,45,40,6m,2f_rev_oca_0.7,43.7,44.9,0.973,1463.32
15,10,40,35,6m-1m,3f_rev_oca_gp,41.99,43.15,0.973,1327.27
15,5,55,25,6m,2f_rev_oca_0.7,44.81,46.13,0.971,1557.06
25,10,30,35,6m,3f_rev_oca_gp,45.08,46.47,0.97,1580.68
30,10,30,30,12m-1m,3f_rev_oca_gp,46.54,48.05,0.968,1713.25
10,15,40,35,6m,3f_rev_oca_gp,45.74,47.35,0.966,1639.29
15,10,40,35,6m-1m,2f_rev_oca_0.7,41.41,42.91,0.965,1284.19
5,10,40,45,6m,3f_rev_oca_gp,44.38,45.99,0.965,1519.98
15,15,30,40,12m-1m,3f_rev_oca_gp,50.75,52.62,0.964,2147.77
20,10,45,25,12m-1m,2f_rev_oca_0.7,47.06,48.87,0.963,1762.88
20,5,45,30,6m,2f_rev_oca_0.7,45.75,47.73,0.959,1640.89
15,5,50,30,6m-1m,2f_rev_oca_0.7,39.79,41.61,0.956,1168.56
20,10,40,30,12m,3f_rev_oca_gp,48.78,51.02,0.956,1934.11
20,0,55,25,12m,2f_rev_oca_0.7,46.61,48.83,0.955,1720.11
5,15,45,35,6m,3f_rev_oca_gp,43.77,45.95,0.952,1468.95
10,0,45,45,6m,2f_rev_oca_0.7,43.39,45.69,0.95,1437.65
30,0,40,30,12m,2f_rev_oca_0.7,49.08,51.76,0.948,1965.97
30,5,30,35,12m-1m,2f_rev_oca_0.7,40.65,42.99,0.945,1228.42
15,15,45,25,12m,2f_rev_oca_0.7,47.17,50.01,0.943,1773.5
25,15,20,40,6m-1m,3f_rev_oca_gp,44.52,47.36,0.94,1531.95
30,10,30,30,12m-1m,2f_rev_oca_0.7,43.8,46.59,0.94,1471.21
20,10,40,30,12m-1m,2f_rev_oca_0.7,43.59,46.52,0.937,1454.58
20,10,45,25,6m,2f_rev_oca_0.7,39.94,42.7,0.935,1178.73
10,0,50,40,6m-1m,3f_rev_oca_gp,42.64,45.61,0.935,1377.59
20,5,45,30,12m-1m,2f_rev_oca_0.7,46.76,50.03,0.935,1734.53
20,0,50,30,12m-1m,2f_rev_oca_0.7,46.32,49.63,0.933,1693.04
30,15,30,25,6m,3f_rev_oca_gp,41.99,45.04,0.932,1327.49
10,15,45,30,12m,3f_rev_oca_gp,44.72,48.05,0.931,1549.37
20,15,30,35,6m-1m,2f_rev_oca_0.7,41.26,44.37,0.93,1272.85
25,0,45,30,12m,2f_rev_oca_0.7,49.85,53.64,0.929,2048.11
20,0,40,40,6m-1m,2f_rev_oca_0.7,42.05,45.25,0.929,1331.93
15,15,30,40,6m-1m,2f_rev_oca_0.7,42.32,45.54,0.929,1353.29
30,10,20,40,6m-1m,3f_rev_oca_gp,44.69,48.12,0.929,1547.01
30,5,30,35,12m-1m,3f_rev_oca_gp,44.6,48.09,0.928,1539.26
15,15,40,30,6m-1m,2f_rev_oca_0.7,43.85,47.28,0.927,1475.59
25,0,30,45,6m-1m,3f_rev_oca_gp,46.23,49.93,0.926,1684.96
20,0,40,40,6m,3f_rev_oca_gp,46.68,50.42,0.926,1726.46
15,5,40,40,6m,3f_rev_oca_gp,50.49,54.56,0.925,2118.25
30,5,20,45,6m,3f_rev_oca_gp,41.91,45.32,0.925,1321.19
5,10,45,40,6m-1m,3f_rev_oca_gp,43.75,47.3,0.925,1467.13
25,15,30,30,6m-1m,2f_rev_oca_0.7,46.07,50.0,0.921,1669.68
15,5,50,30,6m,2f_rev_oca_0.7,41.12,44.71,0.92,1262.98
10,15,45,30,6m-1m,2f_rev_oca_0.7,42.99,46.74,0.92,1405.89
20,10,30,40,6m,3f_rev_oca_gp,42.7,46.69,0.914,1382.34
10,15,30,45,12m,2f_rev_oca_0.7,43.01,47.37,0.908,1407.16
5,15,50,30,6m-1m,2f_rev_oca_0.7,42.69,47.46,0.9,1382.13
15,0,40,45,12m,3f_rev_oca_gp,42.23,47.01,0.898,1346.04
30,15,20,35,12m,3f_rev_oca_gp,40.09,44.63,0.898,1188.68
10,10,40,40,6m,2f_rev_oca_0.7,44.05,49.29,0.894,1492.51
20,5,40,35,12m-1m,2f_rev_oca_0.7,45.28,50.71,0.893,1598.38
0,0,55,45,6m,3f_rev_oca_gp,42.01,47.23,0.889,1329.22
15,5,45,35,6m-1m,3f_rev_oca_gp,39.89,44.89,0.889,1175.37
10,5,40,45,6m,2f_rev_oca_0.7,39.33,44.34,0.887,1136.76
25,0,40,35,12m-1m,2f_rev_oca_0.7,45.89,51.73,0.887,1653.47
15,15,40,30,12m,2f_rev_oca_0.7,43.91,49.54,0.886,1480.31
25,0,45,30,12m-1m,2f_rev_oca_0.7,47.26,53.44,0.884,1782.15
5,5,45,45,12m,2f_rev_oca_0.7,42.88,48.58,0.883,1397.31
10,10,50,30,6m-1m,2f_rev_oca_0.7,40.77,46.27,0.881,1237.07
25,15,40,20,12m,2f_rev_oca_0.7,43.84,49.8,0.88,1475.31
20,0,40,40,12m,2f_rev_oca_0.7,46.56,53.12,0.877,1715.29
0,0,55,45,12m,2f_rev_oca_0.7,41.23,47.09,0.876,1270.67
30,0,30,40,6m-1m,2f_rev_oca_0.7,43.53,49.69,0.876,1449.44
20,15,40,25,6m-1m,2f_rev_oca_0.7,44.47,50.79,0.876,1528.3
25,5,30,40,6m-1m,2f_rev_oca_0.7,43.59,49.83,0.875,1454.3
10,0,45,45,12m,2f_rev_oca_0.7,44.23,50.63,0.874,1507.68
30,15,30,25,6m,2f_rev_oca_0.7,45.32,51.92,0.873,1602.31
10,0,55,35,6m-1m,3f_rev_oca_gp,38.71,44.66,0.867,1095.61
15,0,40,45,12m,2f_rev_oca_0.7,41.91,48.42,0.865,1321.26
10,5,55,30,12m,3f_rev_oca_gp,44.05,50.94,0.865,1492.64
20,10,40,30,6m-1m,2f_rev_oca_0.7,40.08,46.49,0.862,1188.52
10,0,50,40,12m,2f_rev_oca_0.7,41.77,48.55,0.86,1311.29
10,15,30,45,6m,3f_rev_oca_gp,45.96,53.49,0.859,1659.27
20,0,45,35,12m-1m,3f_rev_oca_gp,47.61,55.58,0.857,1816.64
25,0,45,30,12m-1m,3f_rev_oca_gp,41.21,48.16,0.856,1269.22
20,0,50,30,12m-1m,3f_rev_oca_gp,47.41,55.4,0.856,1796.22
25,10,20,45,6m,3f_rev_oca_gp,44.25,51.74,0.855,1509.35
25,10,30,35,12m,2f_rev_oca_0.7,43.24,50.6,0.855,1425.84
20,15,40,25,12m-1m,2f_rev_oca_0.7,40.58,47.49,0.854,1223.38
25,10,40,25,12m,2f_rev_oca_0.7,46.97,55.09,0.853,1754.47
15,0,45,40,6m-1m,3f_rev_oca_gp,39.36,46.2,0.852,1138.67
10,15,40,35,6m-1m,2f_rev_oca_0.7,38.93,45.75,0.851,1110.04
25,0,50,25,12m,3f_rev_oca_gp,49.29,57.97,0.85,1988.32
15,10,40,35,12m-1m,3f_rev_oca_gp,41.94,49.36,0.85,1324.11
10,15,50,25,6m,2f_rev_oca_0.7,43.54,51.37,0.848,1450.45
5,10,40,45,6m,2f_rev_oca_0.7,44.59,52.55,0.848,1537.99
15,15,30,40,12m,2f_rev_oca_0.7,38.29,45.16,0.848,1068.8
5,5,45,45,6m,2f_rev_oca_0.7,39.77,46.96,0.847,1166.85
20,5,50,25,12m,3f_rev_oca_gp,46.26,54.81,0.844,1687.45
25,5,30,40,6m,3f_rev_oca_gp,39.66,47.12,0.842,1159.62
30,5,30,35,6m,2f_rev_oca_0.7,37.1,44.1,0.841,994.7
10,0,45,45,6m-1m,3f_rev_oca_gp,36.25,43.11,0.841,943.91
15,10,30,45,12m,3f_rev_oca_gp,45.21,53.8,0.84,1592.39
25,0,50,25,12m,2f_rev_oca_0.7,44.94,53.51,0.84,1568.87
30,0,30,40,6m-1m,3f_rev_oca_gp,46.47,55.55,0.837,1707.09
5,15,45,35,6m-1m,3f_rev_oca_gp,42.36,50.72,0.835,1356.46
25,10,45,20,12m,2f_rev_oca_0.7,43.24,51.82,0.834,1426.14
15,0,50,35,6m,3f_rev_oca_gp,41.81,50.28,0.832,1313.85
15,10,45,30,12m,2f_rev_oca_0.7,44.32,53.39,0.83,1515.55
5,0,60,35,6m-1m,3f_rev_oca_gp,40.25,48.52,0.83,1200.54
25,5,40,30,12m,3f_rev_oca_gp,46.88,56.53,0.829,1745.39
15,10,45,30,12m-1m,3f_rev_oca_gp,41.85,50.77,0.824,1316.79
10,15,40,35,6m-1m,3f_rev_oca_gp,39.6,48.04,0.824,1155.01
30,0,40,30,12m-1m,2f_rev_oca_0.7,40.8,49.6,0.823,1239.02
25,0,40,35,12m-1m,3f_rev_oca_gp,47.3,57.5,0.823,1785.7
25,15,40,20,12m-1m,2f_rev_oca_0.7,38.94,47.39,0.822,1110.58
10,10,45,35,6m-1m,3f_rev_oca_gp,37.51,45.93,0.817,1019.65
15,10,45,30,6m-1m,3f_rev_oca_gp,38.6,47.22,0.817,1088.38
30,15,30,25,12m,3f_rev_oca_gp,42.99,52.79,0.814,1405.5
10,15,30,45,6m,2f_rev_oca_0.7,42.71,52.51,0.813,1383.76
15,15,45,25,12m-1m,2f_rev_oca_0.7,39.43,48.56,0.812,1143.69
20,5,30,45,12m,3f_rev_oca_gp,42.46,52.3,0.812,1364.09
15,15,45,25,6m,2f_rev_oca_0.7,43.87,54.15,0.81,1477.2
20,10,45,25,12m,3f_rev_oca_gp,43.89,54.31,0.808,1478.73
15,0,55,30,12m-1m,3f_rev_oca_gp,41.69,51.85,0.804,1304.65
30,5,45,20,6m,2f_rev_oca_0.7,41.6,51.71,0.804,1297.95
15,10,30,45,12m,2f_rev_oca_0.7,45.04,56.11,0.803,1577.24
10,15,45,30,6m,3f_rev_oca_gp,39.87,49.63,0.803,1174.02
5,5,50,40,6m,3f_rev_oca_gp,36.74,45.87,0.801,972.67
0,5,50,45,6m,3f_rev_oca_gp,38.8,48.42,0.801,1101.46
20,0,40,40,6m-1m,3f_rev_oca_gp,39.29,49.11,0.8,1134.27
10,15,45,30,6m-1m,3f_rev_oca_gp,38.46,48.08,0.8,1079.54
15,5,45,35,12m-1m,3f_rev_oca_gp,41.3,51.69,0.799,1276.15
20,15,40,25,12m,2f_rev_oca_0.7,39.75,49.75,0.799,1165.4
0,5,55,40,12m,2f_rev_oca_0.7,38.32,48.0,0.798,1070.72
20,15,45,20,6m-1m,3f_rev_oca_gp,42.46,53.25,0.797,1363.9
0,5,55,40,6m,2f_rev_oca_0.7,39.1,49.03,0.797,1121.23
15,10,30,45,6m,3f_rev_oca_gp,35.73,44.86,0.796,914.31
15,15,40,30,12m,3f_rev_oca_gp,39.87,50.23,0.794,1174.0
0,5,50,45,12m,2f_rev_oca_0.7,37.69,47.6,0.792,1030.75
10,0,60,30,12m,2f_rev_oca_0.7,36.73,46.42,0.791,972.37
15,0,50,35,6m-1m,2f_rev_oca_0.7,37.58,47.66,0.789,1023.75
10,5,50,35,6m,2f_rev_oca_0.7,33.72,42.8,0.788,805.91
15,0,55,30,6m,3f_rev_oca_gp,37.06,47.1,0.787,991.85
20,0,45,35,12m,3f_rev_oca_gp,49.18,62.49,0.787,1976.07
10,5,45,40,12m,2f_rev_oca_0.7,37.31,47.38,0.787,1007.16
10,15,40,35,12m,3f_rev_oca_gp,39.52,50.29,0.786,1150.02
20,15,45,20,12m,2f_rev_oca_0.7,39.45,50.32,0.784,1144.8
25,0,30,45,12m,2f_rev_oca_0.7,37.25,47.5,0.784,1003.64
10,10,55,25,6m,2f_rev_oca_0.7,40.53,51.77,0.783,1219.78
10,5,50,35,6m-1m,3f_rev_oca_gp,38.35,49.07,0.782,1072.76
20,5,40,35,12m,2f_rev_oca_0.7,38.68,49.49,0.782,1093.51
0,10,55,35,6m,2f_rev_oca_0.7,33.56,42.92,0.782,797.49
5,15,40,40,6m-1m,3f_rev_oca_gp,38.42,49.22,0.781,1077.02
25,0,40,35,6m-1m,2f_rev_oca_0.7,36.41,46.66,0.78,953.44
10,5,40,45,12m,2f_rev_oca_0.7,42.5,54.47,0.78,1367.17
30,5,45,20,12m-1m,2f_rev_oca_0.7,39.17,50.5,0.776,1126.2
25,15,30,30,6m-1m,3f_rev_oca_gp,43.3,55.8,0.776,1430.56
10,5,40,45,12m,3f_rev_oca_gp,42.19,54.38,0.776,1343.1
5,0,55,40,12m,2f_rev_oca_0.7,36.94,47.63,0.776,985.07
20,5,30,45,12m-1m,2f_rev_oca_0.7,41.15,53.07,0.775,1264.6
25,10,30,35,6m-1m,3f_rev_oca_gp,39.12,50.53,0.774,1123.05
20,10,45,25,12m,2f_rev_oca_0.7,41.81,54.07,0.773,1313.86
5,10,50,35,6m-1m,3f_rev_oca_gp,39.22,50.83,0.772,1129.2
5,0,50,45,6m,3f_rev_oca_gp,40.48,52.49,0.771,1216.22
