V,Q,G,M,mom,gs,cagr,mdd,calmar,total
25,0,50,25,12m-1m,3f_rev_oca_gp,39.48,51.62,0.765,1147.21
10,0,50,40,6m,2f_rev_oca_0.7,34.68,45.4,0.764,856.15
25,10,30,35,6m,2f_rev_oca_0.7,41.32,54.08,0.764,1277.01
15,5,40,40,12m,2f_rev_oca_0.7,38.85,50.93,0.763,1104.78
30,10,20,40,6m,3f_rev_oca_gp,41.22,54.04,0.763,1270.06
30,0,45,25,12m-1m,2f_rev_oca_0.7,40.02,52.48,0.763,1184.27
20,5,50,25,12m,2f_rev_oca_0.7,44.01,57.81,0.761,1488.84
10,10,50,30,12m,3f_rev_oca_gp,40.48,53.22,0.761,1216.27
30,5,30,35,6m-1m,2f_rev_oca_0.7,38.58,50.78,0.76,1087.16
20,0,55,25,12m,3f_rev_oca_gp,45.66,60.1,0.76,1632.8
15,15,30,40,12m,3f_rev_oca_gp,34.06,44.85,0.759,823.57
15,5,50,30,12m-1m,3f_rev_oca_gp,39.06,51.46,0.759,1119.12
30,10,30,30,6m,2f_rev_oca_0.7,40.98,54.02,0.759,1252.45
5,15,50,30,12m-1m,3f_rev_oca_gp,40.81,53.73,0.759,1239.75
25,5,40,30,12m-1m,2f_rev_oca_0.7,41.68,54.9,0.759,1304.52
15,0,50,35,6m-1m,3f_rev_oca_gp,35.46,46.72,0.759,899.03
15,5,50,30,12m-1m,2f_rev_oca_0.7,40.73,53.78,0.757,1234.41
25,15,20,40,6m,3f_rev_oca_gp,42.31,55.93,0.756,1352.04
10,5,40,45,6m,3f_rev_oca_gp,37.83,50.01,0.756,1039.32
25,5,40,30,12m-1m,3f_rev_oca_gp,41.26,54.75,0.753,1272.58
10,10,45,35,6m,2f_rev_oca_0.7,35.1,46.67,0.752,878.8
15,15,40,30,12m-1m,3f_rev_oca_gp,39.17,52.37,0.748,1126.16
15,10,45,30,6m-1m,2f_rev_oca_0.7,34.63,46.39,0.746,853.52
5,15,50,30,12m,3f_rev_oca_gp,42.59,57.15,0.745,1374.41
20,5,45,30,6m-1m,3f_rev_oca_gp,36.69,49.24,0.745,970.13
25,5,45,25,12m,3f_rev_oca_gp,42.78,57.42,0.745,1388.6
25,10,40,25,12m-1m,2f_rev_oca_0.7,41.53,55.82,0.744,1293.06
30,10,20,40,6m-1m,2f_rev_oca_0.7,39.9,53.8,0.742,1175.97
30,0,45,25,12m-1m,3f_rev_oca_gp,39.8,53.73,0.741,1168.94
30,5,30,35,6m-1m,3f_rev_oca_gp,41.29,55.84,0.739,1275.07
30,15,20,35,6m,3f_rev_oca_gp,38.84,52.62,0.738,1104.14
15,5,40,40,6m,2f_rev_oca_0.7,34.36,46.56,0.738,838.89
5,15,40,40,6m,3f_rev_oca_gp,36.47,49.66,0.734,956.88
5,0,50,45,6m,2f_rev_oca_0.7,40.24,54.89,0.733,1199.72
5,10,55,30,6m-1m,3f_rev_oca_gp,35.39,48.57,0.729,895.01
0,15,40,45,6m,2f_rev_oca_0.7,36.04,49.57,0.727,931.77
10,5,55,30,6m-1m,3f_rev_oca_gp,34.28,47.24,0.726,834.73
30,10,30,30,6m,3f_rev_oca_gp,36.86,50.95,0.724,980.22
15,10,40,35,12m,2f_rev_oca_0.7,34.82,48.08,0.724,863.69
20,0,55,25,6m-1m,2f_rev_oca_0.7,34.07,47.21,0.722,823.66
25,0,45,30,6m-1m,2f_rev_oca_0.7,37.83,52.43,0.721,1039.21
20,10,30,40,12m,2f_rev_oca_0.7,38.03,52.75,0.721,1051.8
20,15,30,35,6m,2f_rev_oca_0.7,40.18,55.77,0.72,1195.17
10,15,50,25,12m-1m,2f_rev_oca_0.7,42.61,59.23,0.719,1375.44
30,5,40,25,12m-1m,2f_rev_oca_0.7,36.72,51.35,0.715,971.81
10,15,45,30,12m-1m,2f_rev_oca_0.7,39.5,55.27,0.715,1148.46
30,0,45,25,6m-1m,2f_rev_oca_0.7,35.54,49.77,0.714,903.74
30,15,20,35,12m,2f_rev_oca_0.7,32.23,45.13,0.714,731.94
10,15,50,25,6m-1m,3f_rev_oca_gp,36.88,51.72,0.713,980.98
20,0,40,40,12m,3f_rev_oca_gp,38.98,54.68,0.713,1113.53
15,10,40,35,6m,2f_rev_oca_0.7,38.1,53.43,0.713,1056.25
30,5,40,25,12m,2f_rev_oca_0.7,37.58,52.8,0.712,1023.7
15,5,40,40,12m,3f_rev_oca_gp,38.54,54.39,0.709,1084.4
0,10,45,45,12m,3f_rev_oca_gp,36.99,52.16,0.709,987.53
10,0,65,25,12m,3f_rev_oca_gp,43.03,60.74,0.708,1408.82
10,15,30,45,12m,3f_rev_oca_gp,38.88,55.02,0.707,1106.76
20,15,40,25,6m,3f_rev_oca_gp,41.06,58.04,0.707,1257.94
25,15,20,40,12m,2f_rev_oca_0.7,36.01,50.94,0.707,930.0
0,10,55,35,6m-1m,3f_rev_oca_gp,37.41,52.98,0.706,1013.27
5,0,60,35,12m,2f_rev_oca_0.7,33.35,47.32,0.705,786.66
25,15,30,30,6m,3f_rev_oca_gp,40.9,58.26,0.702,1246.85
15,10,45,30,6m,3f_rev_oca_gp,38.27,54.49,0.702,1067.05
25,15,40,20,6m-1m,2f_rev_oca_0.7,38.36,54.71,0.701,1073.26
15,5,45,35,6m,2f_rev_oca_0.7,33.45,47.71,0.701,792.16
30,10,40,20,6m,2f_rev_oca_0.7,42.58,60.92,0.699,1373.1
15,5,55,25,12m,3f_rev_oca_gp,42.74,61.21,0.698,1386.09
5,5,60,30,6m,3f_rev_oca_gp,41.94,60.2,0.697,1323.99
15,0,40,45,6m,2f_rev_oca_0.7,37.96,54.48,0.697,1047.62
15,5,55,25,12m,2f_rev_oca_0.7,42.61,61.19,0.696,1375.29
10,5,45,40,12m,3f_rev_oca_gp,35.38,50.87,0.696,894.64
25,15,30,30,12m-1m,3f_rev_oca_gp,37.73,54.29,0.695,1033.3
25,15,40,20,6m-1m,3f_rev_oca_gp,43.28,62.3,0.695,1429.06
0,0,60,40,6m,3f_rev_oca_gp,38.43,55.35,0.694,1077.36
10,5,45,40,6m,3f_rev_oca_gp,36.32,52.48,0.692,948.07
30,10,20,40,12m,2f_rev_oca_0.7,34.02,49.16,0.692,821.44
15,5,50,30,12m,2f_rev_oca_0.7,35.25,50.98,0.692,887.46
5,15,50,30,6m-1m,3f_rev_oca_gp,39.73,57.44,0.692,1164.04
5,15,50,30,6m,3f_rev_oca_gp,39.98,57.75,0.692,1181.6
15,15,45,25,12m,3f_rev_oca_gp,37.57,54.37,0.691,1023.46
30,0,30,40,6m,2f_rev_oca_0.7,34.61,50.07,0.691,852.63
25,0,30,45,12m-1m,2f_rev_oca_0.7,35.87,52.06,0.689,922.07
0,10,45,45,12m,2f_rev_oca_0.7,35.65,51.77,0.689,909.68
20,10,40,30,6m,3f_rev_oca_gp,38.17,55.47,0.688,1061.01
5,5,55,35,6m-1m,3f_rev_oca_gp,34.53,50.25,0.687,848.11
5,0,70,25,6m,3f_rev_oca_gp,40.24,58.65,0.686,1199.64
5,10,40,45,12m,2f_rev_oca_0.7,36.15,52.77,0.685,938.26
20,15,40,25,6m,2f_rev_oca_0.7,39.53,57.68,0.685,1150.47
30,0,30,40,6m,3f_rev_oca_gp,36.37,53.09,0.685,951.08
5,0,65,30,12m,2f_rev_oca_0.7,33.78,49.4,0.684,808.94
15,0,50,35,12m,3f_rev_oca_gp,34.85,51.02,0.683,865.39
15,0,60,25,12m,3f_rev_oca_gp,43.36,63.45,0.683,1435.45
15,10,50,25,12m,2f_rev_oca_0.7,38.34,56.15,0.683,1071.69
10,15,40,35,6m,2f_rev_oca_0.7,38.71,56.8,0.682,1095.7
25,10,40,25,6m-1m,2f_rev_oca_0.7,38.17,55.99,0.682,1060.81
20,10,45,25,6m-1m,2f_rev_oca_0.7,36.83,54.02,0.682,978.35
25,5,45,25,6m-1m,2f_rev_oca_0.7,37.84,55.53,0.681,1040.16
0,10,65,25,12m,3f_rev_oca_gp,38.66,56.74,0.681,1092.29
10,15,50,25,12m,3f_rev_oca_gp,41.35,60.82,0.68,1279.5
5,0,50,45,12m,3f_rev_oca_gp,39.09,57.5,0.68,1120.56
0,10,70,20,12m,3f_rev_oca_gp,40.41,59.51,0.679,1211.78
10,5,55,30,6m,3f_rev_oca_gp,41.36,60.95,0.679,1280.49
5,5,50,40,6m,2f_rev_oca_0.7,34.42,50.82,0.677,842.13
30,15,30,25,6m-1m,2f_rev_oca_0.7,45.28,66.91,0.677,1598.46
25,5,45,25,12m-1m,2f_rev_oca_0.7,33.45,49.49,0.676,792.14
20,15,45,20,12m-1m,2f_rev_oca_0.7,37.91,56.14,0.675,1044.56
10,5,55,30,6m,2f_rev_oca_0.7,31.14,46.13,0.675,681.33
5,5,55,35,6m,3f_rev_oca_gp,30.75,45.75,0.672,663.9
0,10,45,45,6m,2f_rev_oca_0.7,33.81,50.35,0.671,810.19
10,10,50,30,6m-1m,3f_rev_oca_gp,32.14,48.06,0.669,727.54
0,0,55,45,6m,2f_rev_oca_0.7,34.83,52.04,0.669,864.17
0,5,70,25,6m,3f_rev_oca_gp,38.26,57.16,0.669,1066.87
5,5,55,35,6m,2f_rev_oca_0.7,33.09,49.46,0.669,773.71
10,0,45,45,12m,3f_rev_oca_gp,39.16,58.51,0.669,1125.6
0,0,55,45,12m,3f_rev_oca_gp,38.94,58.27,0.668,1110.67
15,10,55,20,12m,2f_rev_oca_0.7,41.27,61.78,0.668,1273.29
0,0,60,40,6m,2f_rev_oca_0.7,36.47,54.57,0.668,956.86
25,5,45,25,12m,2f_rev_oca_0.7,39.44,59.16,0.667,1144.07
15,0,45,40,12m,2f_rev_oca_0.7,35.57,53.37,0.666,905.05
25,0,40,35,6m,2f_rev_oca_0.7,37.61,56.45,0.666,1025.52
0,15,50,35,6m-1m,3f_rev_oca_gp,34.68,52.15,0.665,856.05
30,5,40,25,6m-1m,2f_rev_oca_0.7,38.4,57.8,0.664,1075.38
20,5,40,35,6m-1m,3f_rev_oca_gp,33.02,49.82,0.663,770.32
10,15,50,25,12m-1m,3f_rev_oca_gp,39.14,59.08,0.663,1124.49
10,15,50,25,12m,2f_rev_oca_0.7,42.29,63.79,0.663,1350.39
0,10,50,40,6m,3f_rev_oca_gp,33.62,50.76,0.662,800.76
5,10,50,35,6m,2f_rev_oca_0.7,32.81,49.59,0.662,760.14
25,0,45,30,12m,3f_rev_oca_gp,41.44,62.61,0.662,1285.95
0,10,50,40,6m,2f_rev_oca_0.7,32.93,49.8,0.661,765.82
30,10,30,30,6m-1m,2f_rev_oca_0.7,40.47,61.24,0.661,1215.74
0,0,60,40,12m,2f_rev_oca_0.7,32.44,49.06,0.661,742.09
5,5,65,25,12m-1m,3f_rev_oca_gp,39.87,60.37,0.66,1173.47
30,0,45,25,12m,2f_rev_oca_0.7,37.1,56.34,0.659,994.4
0,10,45,45,6m,3f_rev_oca_gp,31.76,48.2,0.659,709.73
15,0,50,35,12m,2f_rev_oca_0.7,33.04,50.22,0.658,771.48
25,0,30,45,12m,3f_rev_oca_gp,34.06,51.77,0.658,823.1
10,5,60,25,12m,3f_rev_oca_gp,40.47,61.51,0.658,1215.75
5,10,40,45,6m-1m,3f_rev_oca_gp,35.16,53.49,0.657,882.28
15,5,50,30,6m,3f_rev_oca_gp,37.0,56.35,0.657,988.59
15,5,50,30,6m-1m,3f_rev_oca_gp,31.61,48.15,0.656,702.81
30,5,40,25,12m,3f_rev_oca_gp,42.28,64.56,0.655,1350.12
20,5,40,35,6m,3f_rev_oca_gp,37.67,57.67,0.653,1029.54
30,10,40,20,6m-1m,2f_rev_oca_0.7,35.32,54.06,0.653,891.25
15,15,45,25,6m-1m,2f_rev_oca_0.7,37.2,56.96,0.653,1000.64
25,5,45,25,12m-1m,3f_rev_oca_gp,34.4,52.65,0.653,841.37
25,10,40,25,12m-1m,3f_rev_oca_gp,37.21,57.12,0.651,1001.08
0,5,55,40,12m,3f_rev_oca_gp,33.26,51.2,0.65,782.57
5,10,55,30,12m-1m,3f_rev_oca_gp,38.46,59.2,0.65,1079.84
30,10,30,30,12m,2f_rev_oca_0.7,35.86,55.39,0.647,921.75
30,5,40,25,6m,2f_rev_oca_0.7,33.66,52.0,0.647,802.58
10,0,45,45,6m,3f_rev_oca_gp,36.45,56.46,0.646,955.75
25,5,50,20,12m,2f_rev_oca_0.7,37.33,57.77,0.646,1008.34
10,0,60,30,6m,3f_rev_oca_gp,38.16,59.11,0.646,1060.51
30,0,40,30,6m-1m,2f_rev_oca_0.7,32.53,50.48,0.644,746.33
20,5,30,45,12m,2f_rev_oca_0.7,35.87,55.75,0.643,921.99
0,5,65,30,6m-1m,3f_rev_oca_gp,37.77,58.85,0.642,1035.82
20,0,55,25,12m-1m,2f_rev_oca_0.7,37.01,57.67,0.642,988.87
15,0,40,45,12m-1m,2f_rev_oca_0.7,36.51,56.93,0.641,959.33
10,15,30,45,6m-1m,2f_rev_oca_0.7,34.65,54.14,0.64,854.36
15,10,30,45,12m-1m,2f_rev_oca_0.7,32.63,51.07,0.639,751.45
15,0,55,30,6m-1m,3f_rev_oca_gp,32.09,50.2,0.639,725.48
20,15,40,25,12m-1m,3f_rev_oca_gp,37.89,59.49,0.637,1042.91
15,5,55,25,12m-1m,3f_rev_oca_gp,41.61,65.45,0.636,1298.64
0,0,65,35,6m,3f_rev_oca_gp,33.64,52.99,0.635,801.5
5,5,70,20,12m-1m,3f_rev_oca_gp,37.43,59.03,0.634,1014.76
10,5,60,25,6m,2f_rev_oca_0.7,31.5,49.78,0.633,697.8
30,5,30,35,6m,3f_rev_oca_gp,36.21,57.29,0.632,941.99
10,10,45,35,12m-1m,3f_rev_oca_gp,38.04,60.41,0.63,1052.36
20,15,40,25,12m,3f_rev_oca_gp,35.32,56.01,0.63,890.98
0,10,60,30,6m-1m,3f_rev_oca_gp,36.42,57.91,0.629,954.04
10,0,45,45,12m-1m,2f_rev_oca_0.7,34.95,55.63,0.628,870.63
20,5,50,25,12m-1m,2f_rev_oca_0.7,37.3,59.35,0.628,1006.51
25,15,30,30,6m,2f_rev_oca_0.7,39.38,62.81,0.627,1140.44
20,0,55,25,12m-1m,3f_rev_oca_gp,37.6,60.11,0.626,1025.35
0,5,70,25,12m-1m,3f_rev_oca_gp,38.37,61.28,0.626,1073.74
20,0,45,35,6m-1m,2f_rev_oca_0.7,31.34,50.08,0.626,690.37
25,10,40,25,12m,3f_rev_oca_gp,39.15,62.67,0.625,1124.69
0,5,50,45,6m,2f_rev_oca_0.7,34.22,54.86,0.624,831.91
20,10,45,25,12m-1m,3f_rev_oca_gp,36.83,59.12,0.623,978.09
10,10,40,40,12m,2f_rev_oca_0.7,31.54,50.62,0.623,699.48
10,0,60,30,12m-1m,3f_rev_oca_gp,35.15,56.5,0.622,881.99
10,15,50,25,6m,3f_rev_oca_gp,35.77,57.47,0.622,916.45
20,10,50,20,12m,2f_rev_oca_0.7,37.43,60.15,0.622,1014.42
5,5,60,30,6m-1m,3f_rev_oca_gp,35.57,57.29,0.621,905.32
5,0,50,45,6m-1m,3f_rev_oca_gp,31.22,50.39,0.619,684.73
25,15,20,40,6m,2f_rev_oca_0.7,35.4,57.31,0.618,895.57
0,15,40,45,12m,2f_rev_oca_0.7,32.99,53.46,0.617,768.71
15,5,45,35,12m,2f_rev_oca_0.7,32.72,53.04,0.617,755.37
0,5,60,35,6m,2f_rev_oca_0.7,30.86,50.13,0.616,668.63
0,10,70,20,12m-1m,3f_rev_oca_gp,37.33,60.74,0.615,1008.76
5,5,60,30,6m,2f_rev_oca_0.7,29.65,48.23,0.615,616.58
15,10,50,25,12m-1m,2f_rev_oca_0.7,37.19,60.54,0.614,999.85
15,10,45,30,12m-1m,2f_rev_oca_0.7,33.07,53.83,0.614,772.81
30,10,20,40,6m,2f_rev_oca_0.7,34.59,56.39,0.613,851.43
0,0,65,35,12m,3f_rev_oca_gp,33.61,54.86,0.613,799.9
10,10,50,30,6m,2f_rev_oca_0.7,28.27,46.18,0.612,560.72
0,5,55,40,6m,3f_rev_oca_gp,32.63,53.38,0.611,751.21
30,5,20,45,12m,2f_rev_oca_0.7,25.8,42.25,0.611,470.21
0,15,45,40,6m,3f_rev_oca_gp,34.78,57.04,0.61,861.67
20,5,50,25,12m-1m,3f_rev_oca_gp,38.04,62.45,0.609,1052.98
20,15,20,45,12m,2f_rev_oca_0.7,27.85,45.77,0.608,544.38
25,5,40,30,6m,2f_rev_oca_0.7,36.06,59.34,0.608,933.3
20,5,45,30,6m-1m,2f_rev_oca_0.7,34.83,57.27,0.608,864.37
30,10,40,20,12m,2f_rev_oca_0.7,32.75,53.94,0.607,757.26
10,10,50,30,6m,3f_rev_oca_gp,34.92,57.57,0.607,869.18
0,5,50,45,12m,3f_rev_oca_gp,33.85,55.82,0.606,812.25
15,0,60,25,12m-1m,3f_rev_oca_gp,38.05,62.82,0.606,1053.32
15,10,30,45,6m,2f_rev_oca_0.7,31.0,51.24,0.605,675.2
15,10,50,25,12m,3f_rev_oca_gp,35.99,59.48,0.605,928.81
25,0,50,25,12m-1m,2f_rev_oca_0.7,33.23,55.05,0.604,780.93
15,0,45,40,12m,3f_rev_oca_gp,33.02,54.67,0.604,770.14
15,0,50,35,12m-1m,2f_rev_oca_0.7,31.63,52.33,0.604,703.58
25,0,50,25,6m-1m,2f_rev_oca_0.7,34.92,57.94,0.603,869.44
25,5,40,30,6m-1m,2f_rev_oca_0.7,32.83,54.45,0.603,760.9
20,10,50,20,12m-1m,2f_rev_oca_0.7,34.95,57.99,0.603,870.63
30,0,45,25,12m,3f_rev_oca_gp,40.12,66.49,0.603,1191.37
25,0,40,35,12m,2f_rev_oca_0.7,31.89,52.91,0.603,716.05
10,5,55,30,12m-1m,3f_rev_oca_gp,35.51,59.03,0.602,901.69
5,10,55,30,12m,2f_rev_oca_0.7,33.07,55.06,0.601,772.9
10,10,40,40,6m,3f_rev_oca_gp,35.93,59.82,0.601,925.71
10,0,70,20,12m,3f_rev_oca_gp,37.81,62.97,0.6,1037.99
5,10,45,40,6m,3f_rev_oca_gp,30.52,50.97,0.599,653.69
0,0,60,40,12m,3f_rev_oca_gp,31.81,53.13,0.599,712.0
15,0,45,40,12m-1m,3f_rev_oca_gp,32.51,54.33,0.598,745.22
10,0,65,25,12m-1m,3f_rev_oca_gp,39.16,65.63,0.597,1125.66
5,0,55,40,6m,3f_rev_oca_gp,33.75,56.49,0.597,807.1
15,0,45,40,6m,2f_rev_oca_0.7,31.48,52.82,0.596,696.69
10,0,60,30,6m,2f_rev_oca_0.7,29.94,50.25,0.596,628.84
30,5,40,25,6m-1m,3f_rev_oca_gp,38.61,64.8,0.596,1089.12
0,15,50,35,12m-1m,2f_rev_oca_0.7,28.51,47.83,0.596,569.97
20,5,50,25,6m,2f_rev_oca_0.7,35.58,59.83,0.595,905.6
10,5,40,45,12m-1m,2f_rev_oca_0.7,34.06,57.29,0.594,823.14
20,10,50,20,12m-1m,3f_rev_oca_gp,36.43,61.3,0.594,954.46
20,0,50,30,6m-1m,2f_rev_oca_0.7,32.5,54.81,0.593,745.11
30,5,45,20,12m,2f_rev_oca_0.7,36.43,61.55,0.592,954.79
5,0,70,25,12m-1m,3f_rev_oca_gp,37.3,62.99,0.592,1006.61
5,10,55,30,6m,2f_rev_oca_0.7,28.24,47.68,0.592,559.52
10,15,45,30,12m-1m,3f_rev_oca_gp,35.81,60.59,0.591,918.72
15,0,55,30,12m,2f_rev_oca_0.7,33.93,57.84,0.587,816.51
20,15,20,45,12m,3f_rev_oca_gp,30.34,51.78,0.586,645.9
5,15,55,25,6m,3f_rev_oca_gp,33.43,57.04,0.586,790.98
10,5,40,45,6m-1m,2f_rev_oca_0.7,34.6,59.08,0.586,851.89
10,10,55,25,12m-1m,2f_rev_oca_0.7,37.25,63.55,0.586,1003.77
30,15,20,35,6m-1m,3f_rev_oca_gp,33.97,58.01,0.586,818.5
5,15,40,40,6m,2f_rev_oca_0.7,32.57,55.59,0.586,748.36
10,10,40,40,12m,3f_rev_oca_gp,30.55,52.19,0.585,655.24
25,15,20,40,12m,3f_rev_oca_gp,32.68,55.93,0.584,753.85
0,15,55,30,6m-1m,3f_rev_oca_gp,32.76,56.05,0.584,757.51
0,5,70,25,6m-1m,3f_rev_oca_gp,35.75,61.21,0.584,915.21
5,15,50,30,6m,2f_rev_oca_0.7,30.14,51.68,0.583,637.2
30,0,40,30,12m-1m,3f_rev_oca_gp,32.39,55.6,0.583,739.76
20,5,30,45,6m,2f_rev_oca_0.7,27.95,47.96,0.583,548.17
20,0,50,30,6m-1m,3f_rev_oca_gp,31.2,53.64,0.582,684.14
20,15,30,35,6m,3f_rev_oca_gp,36.22,62.2,0.582,942.09
20,15,45,20,12m-1m,3f_rev_oca_gp,34.19,58.89,0.581,830.28
25,5,50,20,6m-1m,2f_rev_oca_0.7,33.34,57.38,0.581,786.48
10,5,50,35,12m-1m,3f_rev_oca_gp,33.53,57.89,0.579,795.77
25,15,40,20,12m-1m,3f_rev_oca_gp,34.99,60.5,0.578,873.03
30,5,20,45,12m,3f_rev_oca_gp,28.34,49.09,0.577,563.46
15,15,45,25,12m-1m,3f_rev_oca_gp,34.12,59.2,0.576,826.58
10,15,45,30,12m,2f_rev_oca_0.7,31.85,55.27,0.576,714.01
20,0,45,35,6m-1m,3f_rev_oca_gp,29.62,51.5,0.575,615.15
10,0,70,20,6m,3f_rev_oca_gp,37.81,65.83,0.574,1038.08
0,10,65,25,12m-1m,3f_rev_oca_gp,36.91,64.41,0.573,983.03
20,5,30,45,6m,3f_rev_oca_gp,29.51,51.62,0.572,610.52
