V,Q,G,M,mom,gs,cagr,mdd,calmar,total
5,0,65,30,12m-1m,2f_rev_oca_0.7,22.87,55.05,0.415,376.8
10,15,55,20,12m,3f_rev_oca_gp,28.54,68.7,0.415,571.07
5,5,50,40,6m-1m,2f_rev_oca_0.7,23.48,56.65,0.414,394.92
5,15,55,25,12m-1m,2f_rev_oca_0.7,22.8,55.11,0.414,374.68
0,10,65,25,6m-1m,3f_rev_oca_gp,28.38,68.53,0.414,565.09
15,10,55,20,6m-1m,2f_rev_oca_0.7,31.0,74.89,0.414,674.97
5,10,40,45,6m-1m,2f_rev_oca_0.7,27.43,66.67,0.411,528.44
0,15,50,35,6m,3f_rev_oca_gp,23.74,57.74,0.411,403.09
5,15,60,20,6m-1m,2f_rev_oca_0.7,29.02,70.52,0.411,590.35
20,0,60,20,6m,3f_rev_oca_gp,26.88,65.44,0.411,508.05
15,0,55,30,12m-1m,2f_rev_oca_0.7,24.73,60.22,0.411,434.14
20,10,45,25,6m-1m,3f_rev_oca_gp,27.26,66.29,0.411,522.22
15,0,60,25,6m,2f_rev_oca_0.7,25.09,61.06,0.411,446.24
0,10,45,45,12m-1m,3f_rev_oca_gp,23.11,56.21,0.411,383.85
5,10,55,30,6m-1m,2f_rev_oca_0.7,21.3,51.9,0.41,332.35
30,0,50,20,12m-1m,2f_rev_oca_0.7,27.0,65.93,0.41,512.72
15,5,60,20,12m,3f_rev_oca_gp,28.6,70.0,0.409,573.61
25,0,55,20,6m-1m,2f_rev_oca_0.7,25.68,62.82,0.409,465.95
5,10,60,25,12m-1m,2f_rev_oca_0.7,23.21,56.84,0.408,386.91
30,10,40,20,12m,3f_rev_oca_gp,30.49,74.78,0.408,652.63
15,10,55,20,12m,3f_rev_oca_gp,28.28,69.51,0.407,560.9
30,0,50,20,6m,3f_rev_oca_gp,30.99,76.26,0.406,674.53
30,5,45,20,12m,3f_rev_oca_gp,31.38,77.42,0.405,692.23
0,15,55,30,12m-1m,2f_rev_oca_0.7,21.79,53.84,0.405,345.86
5,15,60,20,6m,2f_rev_oca_0.7,30.16,74.53,0.405,637.92
15,5,40,40,12m-1m,2f_rev_oca_0.7,25.44,62.94,0.404,457.91
15,0,65,20,6m,2f_rev_oca_0.7,28.01,69.74,0.402,550.35
0,5,50,45,6m-1m,2f_rev_oca_0.7,23.75,59.15,0.402,403.26
10,10,40,40,12m-1m,3f_rev_oca_gp,24.68,61.53,0.401,432.73
5,0,50,45,6m-1m,2f_rev_oca_0.7,23.07,57.46,0.401,382.65
10,0,65,25,6m-1m,3f_rev_oca_gp,28.14,70.25,0.401,555.53
25,0,55,20,12m-1m,3f_rev_oca_gp,28.1,70.23,0.4,553.86
30,15,30,25,12m-1m,2f_rev_oca_0.7,26.94,67.44,0.4,510.51
10,5,45,40,12m-1m,2f_rev_oca_0.7,24.35,60.85,0.4,422.08
0,15,50,35,12m-1m,3f_rev_oca_gp,21.05,52.82,0.399,325.76
5,10,50,35,12m,3f_rev_oca_gp,22.85,57.23,0.399,376.17
10,0,55,35,6m-1m,2f_rev_oca_0.7,21.4,53.69,0.399,335.23
20,0,60,20,6m,2f_rev_oca_0.7,27.14,68.03,0.399,517.81
5,15,60,20,12m-1m,3f_rev_oca_gp,26.48,66.5,0.398,493.96
0,0,70,30,12m,3f_rev_oca_gp,27.11,68.15,0.398,516.77
25,5,50,20,6m,2f_rev_oca_0.7,27.51,69.17,0.398,531.55
0,10,65,25,6m,3f_rev_oca_gp,27.17,68.52,0.397,518.84
30,5,45,20,6m-1m,2f_rev_oca_0.7,28.95,73.0,0.397,587.7
5,5,50,40,12m,3f_rev_oca_gp,23.56,59.3,0.397,397.46
5,15,60,20,12m-1m,2f_rev_oca_0.7,28.84,72.89,0.396,583.19
25,10,45,20,6m,2f_rev_oca_0.7,28.21,71.28,0.396,558.13
15,5,55,25,6m-1m,2f_rev_oca_0.7,27.62,69.89,0.395,535.48
5,0,60,35,6m-1m,2f_rev_oca_0.7,21.57,54.59,0.395,339.82
10,5,60,25,6m-1m,3f_rev_oca_gp,25.33,64.27,0.394,454.26
5,15,45,35,12m-1m,3f_rev_oca_gp,22.63,57.46,0.394,369.62
10,0,70,20,12m,2f_rev_oca_0.7,23.77,60.41,0.393,403.73
20,5,55,20,12m-1m,2f_rev_oca_0.7,26.23,66.77,0.393,485.02
20,0,55,25,6m-1m,3f_rev_oca_gp,23.18,59.06,0.392,385.93
20,0,60,20,12m,2f_rev_oca_0.7,27.29,69.65,0.392,523.27
0,5,55,40,6m-1m,2f_rev_oca_0.7,21.32,54.47,0.391,332.86
5,5,65,25,6m-1m,3f_rev_oca_gp,27.04,69.15,0.391,514.05
20,0,60,20,12m-1m,3f_rev_oca_gp,28.2,72.1,0.391,557.81
15,0,60,25,12m,2f_rev_oca_0.7,24.22,62.06,0.39,417.82
15,15,50,20,6m,3f_rev_oca_gp,26.91,68.95,0.39,509.16
5,15,50,30,12m-1m,2f_rev_oca_0.7,24.18,62.14,0.389,416.83
5,10,60,25,6m-1m,3f_rev_oca_gp,26.41,67.83,0.389,491.52
5,5,60,30,12m-1m,3f_rev_oca_gp,27.69,71.41,0.388,538.22
5,5,65,25,12m-1m,2f_rev_oca_0.7,24.66,63.56,0.388,432.03
0,5,55,40,12m-1m,3f_rev_oca_gp,21.21,54.62,0.388,330.1
15,15,50,20,12m-1m,3f_rev_oca_gp,29.02,74.75,0.388,590.59
10,0,55,35,12m-1m,3f_rev_oca_gp,21.2,54.87,0.386,329.66
30,5,20,45,6m,2f_rev_oca_0.7,19.09,49.52,0.386,276.15
0,5,65,30,12m,2f_rev_oca_0.7,21.41,55.41,0.386,335.45
30,5,45,20,6m,3f_rev_oca_gp,30.59,79.42,0.385,656.64
5,5,50,40,12m-1m,2f_rev_oca_0.7,22.11,57.76,0.383,354.84
25,0,50,25,6m-1m,3f_rev_oca_gp,25.47,66.53,0.383,458.67
10,10,40,40,12m-1m,2f_rev_oca_0.7,23.3,61.01,0.382,389.61
25,10,45,20,6m,3f_rev_oca_gp,28.42,74.44,0.382,566.67
0,15,40,45,12m-1m,2f_rev_oca_0.7,21.01,55.13,0.381,324.79
20,0,60,20,12m-1m,2f_rev_oca_0.7,28.25,74.06,0.381,559.75
10,0,55,35,12m-1m,2f_rev_oca_0.7,22.72,59.58,0.381,372.33
5,15,40,40,12m-1m,2f_rev_oca_0.7,19.42,50.95,0.381,284.07
5,0,70,25,6m-1m,3f_rev_oca_gp,25.69,67.62,0.38,466.26
0,15,55,30,12m,3f_rev_oca_gp,24.19,63.96,0.378,417.07
0,15,45,40,12m-1m,3f_rev_oca_gp,20.37,53.94,0.378,307.95
0,10,55,35,6m-1m,2f_rev_oca_0.7,20.68,54.72,0.378,316.07
0,10,65,25,12m-1m,2f_rev_oca_0.7,23.47,62.01,0.378,394.56
5,0,50,45,12m-1m,2f_rev_oca_0.7,22.7,60.24,0.377,371.84
25,0,55,20,12m,3f_rev_oca_gp,27.27,72.25,0.377,522.68
5,15,55,25,6m-1m,3f_rev_oca_gp,24.8,65.7,0.377,436.65
0,10,70,20,6m-1m,3f_rev_oca_gp,26.62,70.87,0.376,498.73
25,0,55,20,6m,2f_rev_oca_0.7,27.36,72.68,0.376,525.9
20,0,45,35,12m-1m,2f_rev_oca_0.7,22.77,60.74,0.375,373.93
25,5,45,25,6m-1m,3f_rev_oca_gp,27.32,72.78,0.375,524.53
0,10,45,45,6m-1m,3f_rev_oca_gp,21.66,57.88,0.374,342.33
15,0,65,20,6m-1m,3f_rev_oca_gp,25.12,67.21,0.374,447.2
10,15,55,20,12m-1m,2f_rev_oca_0.7,27.49,73.51,0.374,530.58
30,5,45,20,12m-1m,3f_rev_oca_gp,27.17,72.74,0.374,518.95
0,5,50,45,12m-1m,3f_rev_oca_gp,24.21,64.92,0.373,417.66
5,15,55,25,12m-1m,3f_rev_oca_gp,26.46,71.1,0.372,493.14
5,5,60,30,12m-1m,2f_rev_oca_0.7,21.04,56.57,0.372,325.5
20,15,45,20,12m,3f_rev_oca_gp,25.53,68.63,0.372,460.85
20,15,45,20,6m,2f_rev_oca_0.7,27.88,74.9,0.372,545.58
5,0,55,40,12m-1m,2f_rev_oca_0.7,20.74,55.97,0.371,317.59
5,5,50,40,12m-1m,3f_rev_oca_gp,21.97,59.29,0.371,350.92
10,10,60,20,6m,3f_rev_oca_gp,25.54,68.97,0.37,461.07
0,10,45,45,12m-1m,2f_rev_oca_0.7,20.69,56.08,0.369,316.15
15,5,45,35,12m-1m,2f_rev_oca_0.7,22.81,61.92,0.368,374.94
10,0,50,40,6m-1m,2f_rev_oca_0.7,21.09,57.33,0.368,326.75
5,15,60,20,12m,2f_rev_oca_0.7,27.13,73.73,0.368,517.48
25,5,50,20,12m,3f_rev_oca_gp,25.64,69.82,0.367,464.72
15,15,50,20,6m,2f_rev_oca_0.7,27.05,74.15,0.365,514.3
0,5,55,40,6m-1m,3f_rev_oca_gp,19.27,52.8,0.365,280.43
10,10,60,20,6m,2f_rev_oca_0.7,27.63,76.0,0.364,535.89
20,5,55,20,6m,3f_rev_oca_gp,25.73,70.67,0.364,467.77
5,10,55,30,12m,3f_rev_oca_gp,20.88,57.6,0.363,321.3
15,10,55,20,6m,2f_rev_oca_0.7,27.02,74.85,0.361,513.22
0,0,60,40,6m-1m,2f_rev_oca_0.7,19.81,54.94,0.361,293.72
20,15,45,20,6m,3f_rev_oca_gp,27.35,75.97,0.36,525.54
15,5,55,25,6m-1m,3f_rev_oca_gp,24.52,68.13,0.36,427.65
5,10,55,30,12m-1m,2f_rev_oca_0.7,20.52,56.97,0.36,311.75
10,15,55,20,6m,3f_rev_oca_gp,25.53,71.19,0.359,460.85
5,10,50,35,12m-1m,2f_rev_oca_0.7,20.25,56.6,0.358,304.84
10,10,55,25,12m,2f_rev_oca_0.7,23.25,64.92,0.358,387.91
15,5,60,20,12m-1m,2f_rev_oca_0.7,28.29,79.07,0.358,561.24
10,5,65,20,6m-1m,3f_rev_oca_gp,26.25,74.02,0.355,485.86
5,0,65,30,12m,3f_rev_oca_gp,23.49,66.32,0.354,395.38
5,10,65,20,12m,2f_rev_oca_0.7,21.47,60.66,0.354,337.11
5,15,55,25,6m,2f_rev_oca_0.7,20.1,56.73,0.354,301.12
5,15,45,35,12m-1m,2f_rev_oca_0.7,20.68,58.68,0.353,316.09
5,10,50,35,12m,2f_rev_oca_0.7,19.88,56.46,0.352,295.56
15,10,55,20,12m-1m,3f_rev_oca_gp,27.01,77.15,0.35,513.02
10,5,60,25,12m-1m,2f_rev_oca_0.7,22.55,64.62,0.349,367.43
5,0,65,30,6m,3f_rev_oca_gp,22.19,63.58,0.349,357.02
10,0,65,25,6m,2f_rev_oca_0.7,22.48,64.68,0.348,365.41
0,0,55,45,6m-1m,3f_rev_oca_gp,21.7,62.55,0.347,343.47
10,15,30,45,12m-1m,3f_rev_oca_gp,20.8,60.17,0.346,319.21
0,5,60,35,6m-1m,3f_rev_oca_gp,19.91,58.03,0.343,296.24
0,0,60,40,12m-1m,3f_rev_oca_gp,20.79,60.61,0.343,318.75
0,5,70,25,6m,2f_rev_oca_0.7,21.95,64.2,0.342,350.29
10,10,45,35,6m-1m,2f_rev_oca_0.7,22.05,64.69,0.341,353.17
15,5,60,20,6m-1m,3f_rev_oca_gp,22.87,67.11,0.341,376.85
20,5,45,30,6m,3f_rev_oca_gp,23.21,68.35,0.34,386.84
0,10,55,35,12m,3f_rev_oca_gp,20.41,60.22,0.339,308.88
0,0,65,35,12m-1m,2f_rev_oca_0.7,21.33,63.01,0.339,333.31
20,0,60,20,6m-1m,3f_rev_oca_gp,24.41,72.21,0.338,423.9
20,5,55,20,12m-1m,3f_rev_oca_gp,24.28,72.07,0.337,419.97
5,5,65,25,12m,2f_rev_oca_0.7,20.95,62.19,0.337,323.16
10,0,65,25,12m-1m,2f_rev_oca_0.7,21.23,63.09,0.337,330.68
0,10,45,45,6m-1m,2f_rev_oca_0.7,21.5,63.96,0.336,337.84
5,10,50,35,12m-1m,3f_rev_oca_gp,19.74,58.65,0.336,291.9
5,15,55,25,12m,2f_rev_oca_0.7,20.02,59.71,0.335,298.94
20,0,60,20,6m-1m,2f_rev_oca_0.7,23.11,69.12,0.334,383.94
0,5,65,30,6m,3f_rev_oca_gp,19.77,59.22,0.334,292.87
10,5,60,25,6m,3f_rev_oca_gp,22.62,67.85,0.333,369.56
0,5,70,25,12m,3f_rev_oca_gp,21.24,63.78,0.333,330.72
5,15,45,35,12m,3f_rev_oca_gp,20.45,61.82,0.331,310.12
25,0,55,20,6m-1m,3f_rev_oca_gp,25.01,75.82,0.33,443.4
0,10,70,20,12m-1m,2f_rev_oca_0.7,21.85,66.43,0.329,347.63
0,10,50,40,6m-1m,2f_rev_oca_0.7,19.77,60.04,0.329,292.74
5,15,40,40,6m-1m,2f_rev_oca_0.7,20.78,63.37,0.328,318.68
0,15,60,25,6m,2f_rev_oca_0.7,21.26,64.84,0.328,331.28
15,0,45,40,6m-1m,2f_rev_oca_0.7,19.99,61.11,0.327,298.17
20,0,45,35,6m,2f_rev_oca_0.7,19.22,59.09,0.325,279.37
0,0,70,30,12m-1m,3f_rev_oca_gp,22.3,68.52,0.325,360.15
10,15,55,20,6m-1m,2f_rev_oca_0.7,24.2,74.49,0.325,417.24
10,0,60,30,12m,3f_rev_oca_gp,19.07,58.89,0.324,275.8
5,10,45,40,12m-1m,3f_rev_oca_gp,18.52,57.09,0.324,262.67
0,0,65,35,6m-1m,3f_rev_oca_gp,20.01,62.13,0.322,298.81
10,10,45,35,12m,3f_rev_oca_gp,19.11,59.7,0.32,276.59
0,15,50,35,6m-1m,2f_rev_oca_0.7,19.97,62.98,0.317,297.72
0,15,40,45,12m-1m,3f_rev_oca_gp,18.67,58.9,0.317,266.12
25,10,20,45,6m,2f_rev_oca_0.7,16.32,51.51,0.317,214.62
5,0,70,25,12m,3f_rev_oca_gp,20.48,65.03,0.315,310.81
25,10,45,20,12m,3f_rev_oca_gp,23.81,76.19,0.313,405.27
5,15,45,35,6m-1m,2f_rev_oca_0.7,19.76,63.54,0.311,292.62
20,10,50,20,6m,3f_rev_oca_gp,24.0,77.25,0.311,411.14
10,5,65,20,6m,2f_rev_oca_0.7,20.76,66.65,0.311,317.94
10,5,65,20,6m-1m,2f_rev_oca_0.7,24.21,78.69,0.308,417.64
5,10,65,20,6m-1m,3f_rev_oca_gp,22.82,73.99,0.308,375.15
0,15,45,40,6m-1m,2f_rev_oca_0.7,19.41,63.05,0.308,283.85
20,5,55,20,12m,3f_rev_oca_gp,23.56,76.37,0.308,397.32
0,10,50,40,12m-1m,3f_rev_oca_gp,18.46,60.15,0.307,261.27
0,15,65,20,12m-1m,3f_rev_oca_gp,22.6,73.78,0.306,369.0
15,10,55,20,6m,3f_rev_oca_gp,22.65,74.07,0.306,370.29
5,0,55,40,6m-1m,2f_rev_oca_0.7,17.15,55.96,0.306,232.14
15,0,60,25,12m-1m,2f_rev_oca_0.7,20.27,66.49,0.305,305.48
5,10,65,20,6m,3f_rev_oca_gp,23.07,75.88,0.304,382.54
10,0,70,20,6m,2f_rev_oca_0.7,20.46,67.22,0.304,310.22
5,5,55,35,12m-1m,2f_rev_oca_0.7,17.22,56.91,0.303,233.65
20,0,40,40,6m,2f_rev_oca_0.7,17.1,56.62,0.302,230.97
5,0,60,35,12m-1m,3f_rev_oca_gp,18.71,62.04,0.302,267.1
15,15,50,20,6m-1m,2f_rev_oca_0.7,22.99,76.61,0.3,380.15
0,0,55,45,6m-1m,2f_rev_oca_0.7,18.05,60.16,0.3,251.95
15,10,40,35,12m-1m,2f_rev_oca_0.7,20.79,69.23,0.3,318.92
0,15,60,25,12m,2f_rev_oca_0.7,18.16,60.46,0.3,254.56
5,0,70,25,6m,2f_rev_oca_0.7,20.95,70.05,0.299,323.12
10,0,60,30,6m-1m,2f_rev_oca_0.7,16.19,54.3,0.298,211.93
20,5,55,20,6m-1m,3f_rev_oca_gp,21.37,72.47,0.295,334.25
0,0,65,35,6m-1m,2f_rev_oca_0.7,16.01,54.22,0.295,208.47
5,0,55,40,12m-1m,3f_rev_oca_gp,17.45,59.57,0.293,238.6
10,15,40,35,12m-1m,2f_rev_oca_0.7,18.69,64.22,0.291,266.72
10,5,50,35,12m-1m,2f_rev_oca_0.7,16.87,58.59,0.288,226.15
15,0,65,20,6m-1m,2f_rev_oca_0.7,20.81,72.22,0.288,319.35
10,10,60,20,6m-1m,3f_rev_oca_gp,21.31,73.89,0.288,332.76
10,15,55,20,6m-1m,3f_rev_oca_gp,21.53,75.05,0.287,338.62
0,5,60,35,12m-1m,2f_rev_oca_0.7,18.56,64.81,0.286,263.67
5,15,40,40,12m-1m,3f_rev_oca_gp,16.58,57.98,0.286,220.01
5,0,70,25,6m-1m,2f_rev_oca_0.7,16.85,59.4,0.284,225.68
0,10,65,25,6m,2f_rev_oca_0.7,18.03,63.57,0.284,251.42
0,15,60,25,6m,3f_rev_oca_gp,20.33,72.12,0.282,307.04
5,5,70,20,6m-1m,3f_rev_oca_gp,20.99,74.92,0.28,324.19
0,0,70,30,6m-1m,2f_rev_oca_0.7,18.03,64.42,0.28,251.43
0,10,60,30,12m,3f_rev_oca_gp,18.41,66.29,0.278,260.08
0,15,65,20,6m-1m,3f_rev_oca_gp,21.35,76.86,0.278,333.75
25,5,50,20,6m-1m,3f_rev_oca_gp,20.66,74.32,0.278,315.38
25,5,45,25,6m,2f_rev_oca_0.7,20.65,74.83,0.276,315.18
5,10,45,40,12m-1m,2f_rev_oca_0.7,15.37,55.7,0.276,195.64
5,0,55,40,6m-1m,3f_rev_oca_gp,17.34,62.9,0.276,236.14
0,10,55,35,12m-1m,3f_rev_oca_gp,16.49,60.38,0.273,218.12
25,10,45,20,6m-1m,3f_rev_oca_gp,21.76,80.27,0.271,345.07
10,10,60,20,6m-1m,2f_rev_oca_0.7,22.07,81.8,0.27,353.67
5,0,65,30,6m-1m,2f_rev_oca_0.7,16.18,60.26,0.269,211.86
0,15,65,20,6m,3f_rev_oca_gp,20.73,77.04,0.269,317.24
10,10,45,35,12m-1m,2f_rev_oca_0.7,16.34,61.13,0.267,215.01
0,5,65,30,12m,3f_rev_oca_gp,17.02,64.45,0.264,229.42
5,0,65,30,12m-1m,3f_rev_oca_gp,17.89,68.37,0.262,248.25
15,15,50,20,6m-1m,3f_rev_oca_gp,20.01,77.22,0.259,298.68
15,10,55,20,6m-1m,3f_rev_oca_gp,20.0,77.75,0.257,298.65
25,5,50,20,6m,3f_rev_oca_gp,20.09,78.77,0.255,300.82
5,5,55,35,12m-1m,3f_rev_oca_gp,15.2,59.96,0.254,192.46
5,15,60,20,6m,3f_rev_oca_gp,19.19,76.87,0.25,278.55
0,0,60,40,6m-1m,3f_rev_oca_gp,15.0,60.19,0.249,188.61
0,10,65,25,6m-1m,2f_rev_oca_0.7,15.68,63.41,0.247,201.83
0,5,70,25,12m-1m,2f_rev_oca_0.7,16.5,67.13,0.246,218.39
0,0,65,35,12m-1m,3f_rev_oca_gp,16.68,68.15,0.245,222.07
0,10,60,30,6m,3f_rev_oca_gp,14.9,61.4,0.243,186.63
5,5,60,30,6m-1m,2f_rev_oca_0.7,14.21,58.59,0.243,173.9
0,5,65,30,12m-1m,3f_rev_oca_gp,16.32,68.07,0.24,214.64
0,15,55,30,6m-1m,2f_rev_oca_0.7,14.79,61.97,0.239,184.54
10,5,65,20,12m-1m,2f_rev_oca_0.7,17.28,73.08,0.236,234.87
0,0,70,30,6m-1m,3f_rev_oca_gp,14.47,62.7,0.231,178.67
0,10,70,20,6m,2f_rev_oca_0.7,15.64,67.86,0.23,201.01
0,15,60,25,12m-1m,2f_rev_oca_0.7,14.58,65.14,0.224,180.72
0,10,60,30,6m-1m,2f_rev_oca_0.7,13.57,62.89,0.216,162.46
5,5,70,20,12m,2f_rev_oca_0.7,15.67,73.36,0.214,201.51
15,0,65,20,12m,2f_rev_oca_0.7,14.8,70.38,0.21,184.81
0,5,65,30,6m-1m,2f_rev_oca_0.7,12.74,61.23,0.208,148.25
5,5,70,20,12m-1m,2f_rev_oca_0.7,14.81,73.06,0.203,184.95
5,10,65,20,12m-1m,2f_rev_oca_0.7,14.91,74.12,0.201,186.88
0,15,65,20,6m-1m,2f_rev_oca_0.7,14.5,73.33,0.198,179.18
10,5,65,20,12m,2f_rev_oca_0.7,14.28,72.34,0.197,175.16
5,5,60,30,12m,3f_rev_oca_gp,12.75,65.57,0.194,148.46
0,5,70,25,6m-1m,2f_rev_oca_0.7,13.65,70.72,0.193,163.96
0,10,70,20,12m,2f_rev_oca_0.7,13.5,71.01,0.19,161.18
0,15,65,20,6m,2f_rev_oca_0.7,13.76,73.75,0.187,165.88
5,5,65,25,6m-1m,2f_rev_oca_0.7,12.12,67.39,0.18,138.07
5,10,65,20,6m,2f_rev_oca_0.7,13.59,75.75,0.179,162.8
5,5,70,20,6m-1m,2f_rev_oca_0.7,12.69,74.12,0.171,147.45
5,10,60,25,6m-1m,2f_rev_oca_0.7,11.45,67.09,0.171,127.45
0,10,70,20,6m-1m,2f_rev_oca_0.7,12.26,72.33,0.17,140.44
0,5,60,35,12m-1m,3f_rev_oca_gp,11.05,65.66,0.168,121.45
0,15,60,25,6m-1m,2f_rev_oca_0.7,9.81,69.64,0.141,103.37
10,0,70,20,12m-1m,2f_rev_oca_0.7,10.72,76.26,0.141,116.46
0,10,60,30,12m-1m,3f_rev_oca_gp,9.71,71.2,0.136,101.93
0,15,65,20,12m-1m,2f_rev_oca_0.7,9.92,76.94,0.129,104.91
25,0,55,20,6m,3f_rev_oca_gp,10.48,85.74,0.122,112.99
15,0,65,20,12m-1m,2f_rev_oca_0.7,8.98,76.42,0.118,91.95
10,0,70,20,6m-1m,2f_rev_oca_0.7,8.2,77.23,0.106,81.78
10,0,65,25,6m-1m,2f_rev_oca_0.7,6.53,71.45,0.091,61.56
0,15,65,20,12m,2f_rev_oca_0.7,6.78,78.51,0.086,64.45
